ZB=F,EUR=X,CHFUSD,GLD
107.40625,0.81031,0.784252,63.2
107.78125,0.80717,0.788581,61.65
106.875,0.80457,0.78883,62.78
106.59375,0.80328,0.78734,63.65
106.6875,0.79796,0.793777,62.96
106.84375,0.79139,0.807494,65.09
106.21875,0.79491,0.806127,65.16
106.4375,0.79258,0.808734,66.55
106.03125,0.7922,0.807918,66.46
106.0625,0.78734,0.814332,67.48
106.5,0.78567,0.814531,67.99
106.53125,0.78722,0.813935,67.56
106.5,0.78327,0.819807,69.68
106.5625,0.78281,0.820008,70.38
106.1875,0.77809,0.825832,71.03
105.5625,0.7734,0.835352,71.12
105.875,0.78186,0.824334,67.41
106.40625,0.77821,0.827952,68.61
105.875,0.78481,0.823384,68.15
106.84375,0.77815,0.829875,67.46
107.15625,0.78327,0.821355,65.58
107.21875,0.77803,0.829669,65.3
107.03125,0.78229,0.825082,66.38
107.25,0.78284,0.822233,64.06
106.875,0.78064,0.822166,64.7
107.03125,0.78499,0.816326,65.1
106.71875,0.7773,0.825151,65.11
106.40625,0.78027,0.821153,64.23
106.46875,0.78058,0.819538,62.56
107.6875,0.77411,0.827883,63.5
107.5,0.77513,0.827678,63.29
107.78125,0.77991,0.82247,62.55
107.59375,0.78113,0.819538,62.28
107.9375,0.79058,0.811557,60.91
108.125,0.79108,0.812414,60.45
108.09375,0.79453,0.810636,60.03
108.34375,0.79707,0.807298,55.92
107.5,0.79308,0.812678,55.62
107.03125,0.79114,0.812678,57.32
106.6875,0.79083,0.810438,57.68
106.5,0.79491,0.806387,56.36
106.4375,0.79434,0.80782,57.3
106.53125,0.78983,0.810636,58.33
105.96875,0.7946,0.804959,57.73
105.6875,0.79847,0.801925,57.99
105.5625,0.79434,0.805088,58.28
105.875,0.79561,0.803729,57.68
105.46875,0.79707,0.802118,57.54
105.875,0.78964,0.808604,59.52
106.65625,0.78229,0.817595,61.23
106.53125,0.78119,0.816793,62.18
105.75,0.7853,0.81215,62.5
106.21875,0.78272,0.813935,63.02
106.8125,0.77979,0.817127,62.63
106.875,0.78462,0.813206,62.02
107.1875,0.78324,0.815461,63.81
107.25,0.78666,0.811129,64.92
107.46875,0.78759,0.813868,65.55
107.46875,0.79089,0.808996,65.85
107.5,0.79885,0.801154,63.95
